id,size,color,source,target
"Джонсон, Бен",1,#E59247,Angola,Portuguese
"Джонсон, Памела Хенсфорд",1,#E59247,Portuguese,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Діккенс, Чарлз",1,#E59247,1960 - 1970,Angola
"Дойл, Артур Конан",1,#E59247,Angola,French
"Донн, Джон",1,#E59247,French,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Еміс, Кінгслі",1,#E59247,1980 - 1990,Angola
"Карр, Джон Діксон",1,#E59247,Angola,Portuguese
"Кілті, Джером",1,#E59247,Portuguese,Пепетела
"Кіплінг, Редьярд(Редіард)",1,#E59247,1980 - 1990,Angola
"Кітс, Джон",1,#E59247,Angola,Portuguese
"Кларк, Артур",1,#E59247,Portuguese,Пепетела
"Кліффорд, Френсіс",1,#E59247,1980 - 1990,Angola
"Колвін, Ян",1,#E59247,Angola,Portuguese
"Коллін, Джордж",1,#E59247,Portuguese,"Роша, Жофре"
"Колрідж, Семюел Тейлор(Кольрідж",1,#E59247,1980 - 1990,Angola
"Кольєр, Джон",1,#E59247,Angola,Portuguese
"Корнваль, Баррі",1,#E59247,Portuguese,"Роша, Жофре"
"Коул, Мортімер",1,#E59247,1980 - 1990,Angola
"Крісті, Агата",1,#E59247,Angola,Portuguese
"Крістофер, Д",1,#E59247,Portuguese,"Роша, Жофре"
"Кронін, Арчібальд",1,#E59247,1980 - 1990,Angola
"Лавсі, Пітер",1,#E59247,Angola,Portuguese
"Ларкін, Філіп",1,#E59247,Portuguese,"Роша, Жофре"
"Ле Карре, Джон",1,#E59247,1970 - 1980,Angola
"Ленгдейл, Пітер",1,#E59247,Angola,Portuguese
"Лессінг, Доріс",1,#E59247,Portuguese,"Руй Монтейро, Мануел"
"Ліндсей, Джек",1,#E59247,1970 - 1980,Angola
"Лір, Едвард",1,#E59247,Angola,Portuguese
"Лоуренс, Девід Герберт",1,#E59247,Portuguese,"Сантуш, Арнадду"
"Льюїс, Норман",1,#E59247,1970 - 1980,Argentina
"Макдональд, Ф",1,#E59247,Argentina,Spanish
"Маккей, Чарлз",1,#E59247,Spanish,"Абалос, Хорхе"
"Маккензі, Комптон",1,#E59247,1990 - 2000,Argentina
"Маклін, Алістер",1,#E59247,Argentina,Spanish
"Марло, Крістофер",1,#E59247,Spanish,"Аррієта, Рафаель Альберто"
"Мікеш, Джордж",1,#E59247,1990 - 2000,Argentina
Italian,2.092157856,#D1605E,Argentina,Spanish
"Мільтон, Джон",1,#E59247,Spanish,"Банчс, Енріке"
Latin,1.033778078,#D1605E,1970 - 1980,Argentina
"Монсаррат, Ніколас",1,#E59247,Argentina,Spanish
"Мортон, Джон",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Мунро, Гектор(псевдонім - Сакі)",1,#E59247,1990 - 2000,Argentina
"Мур, Томас",1,#E59247,Argentina,Spanish
"Орвелл, Джордж",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Парджетер, Едіт",1,#E59247,1980 - 1990,Argentina
"Полден, Джеймс",1,#E59247,Argentina,Spanish
"Поп, Александер",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Прістлі, Джон Бойнтон",1,#E59247,1980 - 1990,Argentina
"Прітчетт, Віктор",1,#E59247,Argentina,Spanish
"Рід, Пірс Пол",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Россетті, Крістіна",1,#E59247,1980 - 1990,Argentina
"Свінберн, Алджернон Чарлз",1,#E59247,Argentina,Spanish
"Сіллітоу, Алан",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Стівенсон, Роберт Льюїс",1,#E59247,1980 - 1990,Argentina
"Тейн, Пол",1,#E59247,Argentina,Spanish
"Тенісон, Альфред",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Толкін, Рональд Руел Джон",1,#E59247,1980 - 1990,Argentina
"Томас, Ділан",1,#E59247,Argentina,Spanish
"Травен, Б",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Тремейн, Роуз",1,#E59247,1980 - 1990,Argentina
"Уайльд(Уайлд), Оскар",1,#E59247,Argentina,Spanish
"Уейд, Роберт",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Уейн, Джон",1,#E59247,1980 - 1990,Argentina
"Уескер, Арнольд",1,#E59247,Argentina,Spanish
"Уїндем, Джон",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Уолліс, Дейв",1,#E59247,1980 - 1990,Argentina
"Фаулз, Джон",1,#E59247,Argentina,Spanish
"Флемінг, Ян",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
Форстер Е. М,1,#E59247,1980 - 1990,Argentina
"Фрімен, Річард Остін",1,#E59247,Argentina,Spanish
"Хілл, Сьюзен",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Чейз, Джеймс Хедлі",1,#E59247,1990 - 2000,Argentina
"Чосер, Джеффрі",1,#E59247,Argentina,Spanish
"Шекспір, Вільям(Уїльям)",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Шеллі, Персі Біші",1,#E59247,1990 - 2000,Argentina
"Шоу, Бернард",1,#E59247,Argentina,Spanish
"Шоу, Хейзел",1,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
Great Britain. Scottish Literature,1.157631031,#F2A2A11,1990 - 2000,Argentina
"Бернс, Роберт",1,#E59247,Argentina,Spanish
"Браун, Джордж Маккей",1,#E59247,Spanish,"Вальш, Марія Елена"
"Ганн, Нейл М",1,#E59247,1990 - 2000,Argentina
"Гейнз, Дороті",1,#E59247,Argentina,Spanish
"Гейтенз, Едвард",1,#E59247,Spanish,"Гонсалес Туньйон, Рауль"
English and Gaelic,1.011259359,#D1605E,1990 - 2000,Argentina
"Геріок, Роберт",1,#E59247,Argentina,Spanish
"Грей, Алісдер",1,#E59247,Spanish,"Давальос, Хайме"
"Дейві, Елспет",1,#E59247,1990 - 2000,Argentina
"English, Gaelic and Scottish spoken languages",1.00562968,#D1605E,Argentina,Spanish
"Джемісон, Роберт А",1,#E59247,Spanish,"Капдевіла, Артуро"
"Ленард, Том",1,#E59247,1990 - 2000,Argentina
"Лінклейтер, Ерік",1,#E59247,Argentina,Spanish
"Мак-Келлам, Нейл",1,#E59247,Spanish,"Касарес, Адольфо Біой"
"Макбет, Джордж",1,#E59247,1990 - 2000,Argentina
"Макдіармід, Х’ю",1,#E59247,Argentina,Spanish
"Маккейб, Брайєн",1,#E59247,Spanish,"Касарес, Адольфо Біой"
"Маккейг, Норман",1,#E59247,1990 - 2000,Argentina
"Міччісон, Наомі",1,#E59247,Argentina,Spanish
"Морган, Едвін",1,#E59247,Spanish,"Касарес, Адольфо Біой"
"Патерсон, Нейл",1,#E59247,1990 - 2000,Argentina
"Пау, Том",1,#E59247,Argentina,Spanish
"Сміт, Ян(Ієн) Крайтон",1,#E59247,Spanish,"Касарес, Адольфо Біой"
"Фінлей, Єн Гемілтон",1,#E59247,1990 - 2000,Argentina
